species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year,body_mass_kg,bill_area_index,flipper_mass_ratio,body_size_category,sex_encoded,island_Biscoe,island_Dream,island_Torgersen
Adelie,Torgersen,39.1,18.7,181.0,3750.0,male,2007,3.75,731.17,48.27,Orta,1,0,0,1
Adelie,Torgersen,39.5,17.4,186.0,3800.0,female,2007,3.8,687.3,48.95,Orta,0,0,0,1
Adelie,Torgersen,40.3,18.0,195.0,3250.0,female,2007,3.25,725.4,60.0,Küçük,0,0,0,1
Adelie,Torgersen,38.8,18.4,190.0,3700.0,male,2007,3.7,713.92,51.35,Küçük,1,0,0,1
Adelie,Torgersen,36.7,19.3,193.0,3450.0,female,2007,3.45,708.31,55.94,Küçük,0,0,0,1
Adelie,Torgersen,39.3,20.6,190.0,3650.0,male,2007,3.65,809.58,52.05,Küçük,1,0,0,1
Adelie,Torgersen,38.9,17.8,181.0,3625.0,female,2007,3.625,692.42,49.93,Küçük,0,0,0,1
Adelie,Torgersen,39.2,19.6,195.0,4675.0,male,2007,4.675,768.32,41.71,Büyük,1,0,0,1
Adelie,Torgersen,34.1,18.1,193.0,3475.0,male,2007,3.475,617.21,55.54,Küçük,1,0,0,1
Adelie,Torgersen,42.0,20.2,190.0,4250.0,male,2007,4.25,848.4,44.71,Orta,1,0,0,1
Adelie,Torgersen,37.8,17.1,186.0,3300.0,male,2007,3.3,646.38,56.36,Küçük,1,0,0,1
Adelie,Torgersen,37.8,17.3,180.0,3700.0,male,2007,3.7,653.94,48.65,Küçük,1,0,0,1
Adelie,Torgersen,41.1,17.6,182.0,3200.0,female,2007,3.2,723.36,56.88,Küçük,0,0,0,1
Adelie,Torgersen,38.6,21.2,191.0,3800.0,male,2007,3.8,818.32,50.26,Orta,1,0,0,1
Adelie,Torgersen,34.6,21.1,198.0,4400.0,male,2007,4.4,730.06,45.0,Orta,1,0,0,1
Adelie,Torgersen,36.6,17.8,185.0,3700.0,female,2007,3.7,651.48,50.0,Küçük,0,0,0,1
Adelie,Torgersen,38.7,19.0,195.0,3450.0,female,2007,3.45,735.3,56.52,Küçük,0,0,0,1
Adelie,Torgersen,42.5,20.7,197.0,4500.0,male,2007,4.5,879.75,43.78,Orta,1,0,0,1
Adelie,Torgersen,34.4,18.4,184.0,3325.0,female,2007,3.325,632.96,55.34,Küçük,0,0,0,1
Adelie,Torgersen,46.0,21.5,194.0,4200.0,male,2007,4.2,989.0,46.19,Orta,1,0,0,1
Adelie,Biscoe,37.8,18.3,174.0,3400.0,female,2007,3.4,691.74,51.18,Küçük,0,1,0,0
Adelie,Biscoe,37.7,18.7,180.0,3600.0,male,2007,3.6,704.99,50.0,Küçük,1,1,0,0
Adelie,Biscoe,35.9,19.2,189.0,3800.0,female,2007,3.8,689.28,49.74,Orta,0,1,0,0
Adelie,Biscoe,38.2,18.1,185.0,3950.0,male,2007,3.95,691.42,46.84,Orta,1,1,0,0
Adelie,Biscoe,38.8,17.2,180.0,3800.0,male,2007,3.8,667.36,47.37,Orta,1,1,0,0
Adelie,Biscoe,35.3,18.9,187.0,3800.0,female,2007,3.8,667.17,49.21,Orta,0,1,0,0
Adelie,Biscoe,40.6,18.6,183.0,3550.0,male,2007,3.55,755.16,51.55,Küçük,1,1,0,0
Adelie,Biscoe,40.5,17.9,187.0,3200.0,female,2007,3.2,724.95,58.44,Küçük,0,1,0,0
Adelie,Biscoe,37.9,18.6,172.0,3150.0,female,2007,3.15,704.94,54.6,Küçük,0,1,0,0
Adelie,Biscoe,40.5,18.9,180.0,3950.0,male,2007,3.95,765.45,45.57,Orta,1,1,0,0
Adelie,Dream,39.5,16.7,178.0,3250.0,female,2007,3.25,659.65,54.77,Küçük,0,0,1,0
Adelie,Dream,37.2,18.1,178.0,3900.0,male,2007,3.9,673.32,45.64,Orta,1,0,1,0
Adelie,Dream,39.5,17.8,188.0,3300.0,female,2007,3.3,703.1,56.97,Küçük,0,0,1,0
