nu,gamma,precision,recall,f1,roc_auc,detected
0.01,scale,0.7692,1.0,0.8696,1.0,78
0.01,0.03,0.9375,1.0,0.9677,1.0,64
0.01,0.08,0.8955,1.0,0.9449,1.0,67
0.01,0.2,0.7143,1.0,0.8333,1.0,84
0.03,scale,0.7692,1.0,0.8696,1.0,78
0.03,0.03,0.8824,1.0,0.9375,1.0,68
0.03,0.08,0.8451,1.0,0.916,1.0,71
0.03,0.2,0.7229,1.0,0.8392,1.0,83
0.05,scale,0.7143,1.0,0.8333,1.0,84
0.05,0.03,0.7895,1.0,0.8824,1.0,76
0.05,0.08,0.7792,1.0,0.8759,1.0,77
0.05,0.2,0.6742,1.0,0.8054,1.0,89
0.08,scale,0.6452,1.0,0.7843,1.0,93
0.08,0.03,0.6977,1.0,0.8219,1.0,86
0.08,0.08,0.6818,1.0,0.8108,1.0,88
0.08,0.2,0.6186,1.0,0.7643,1.0,97
0.12,scale,0.6,1.0,0.75,1.0,100
0.12,0.03,0.5825,1.0,0.7362,1.0,103
0.12,0.08,0.5941,1.0,0.7453,1.0,101
0.12,0.2,0.5941,1.0,0.7453,1.0,101
