transaction_id,amount,transactions_24h,risk_score,geo_distance_km,device_age_days,hour_deviation,is_anomaly,anomaly_type
TRN000001,70.7637,2.0,26.1334,7.6636,662.0048,0.1019,0,Normal
TRN000002,80.8203,2.0,21.2563,9.844,218.9046,2.6058,0,Normal
TRN000003,102.9325,6.0,17.9472,21.1896,571.8199,1.815,0,Normal
TRN000004,138.3259,3.0,14.9335,46.8117,291.4935,2.5767,0,Normal
TRN000005,156.5377,1.0,15.2207,39.2431,203.4384,2.8855,0,Normal
TRN000006,75.0142,2.0,18.415,22.7842,212.3412,2.3194,0,Normal
TRN000007,73.3248,2.0,18.6961,22.2939,299.0241,3.5792,0,Normal
TRN000008,117.0618,7.0,20.2387,90.4662,84.905,1.3345,0,Normal
TRN000009,130.8004,5.0,19.7142,37.4544,207.2325,2.0062,0,Normal
TRN000010,70.6936,2.0,13.4169,17.97,787.4636,1.5931,0,Normal
TRN000011,152.5519,5.0,23.9356,95.191,909.8161,0.183,0,Normal
TRN000012,168.1271,3.0,32.3079,3.7486,219.3962,2.6716,0,Normal
TRN000013,191.0856,4.0,20.0221,62.3885,447.8089,0.3272,0,Normal
TRN000014,267.2444,5.0,23.9688,11.2199,394.8076,1.0351,0,Normal
TRN000015,59.7078,6.0,17.4241,11.0272,160.9338,2.5075,0,Normal
TRN000016,90.4272,3.0,22.8427,24.8684,451.803,2.4221,0,Normal
TRN000017,96.1722,3.0,19.6593,35.6903,258.9243,2.3381,0,Normal
TRN000018,84.6754,3.0,14.9825,17.7737,331.516,1.1024,0,Normal
TRN000019,69.1052,5.0,20.1047,9.3364,499.3627,0.2849,0,Normal
TRN000020,41.2167,3.0,13.985,32.1715,268.5613,3.8157,0,Normal
TRN000021,97.4846,2.0,19.8914,32.103,266.9251,3.7946,0,Normal
TRN000022,59.268,2.0,30.4963,17.4492,426.0922,0.8783,0,Normal
TRN000023,106.0873,12.0,36.4674,60.8063,580.6999,2.9113,0,Normal
TRN000024,59.9546,3.0,18.1335,7.7158,413.489,0.2232,0,Normal
TRN000025,49.981,3.0,14.9245,49.2475,274.0753,1.6652,0,Normal
TRN000026,104.487,3.0,13.44,87.4122,548.6908,0.179,0,Normal
TRN000027,104.9043,7.0,29.8401,65.0904,386.3108,1.8726,0,Normal
TRN000028,131.4126,4.0,25.9962,56.3393,645.7556,2.3925,0,Normal
TRN000029,318.8881,4.0,26.8306,7.3208,735.8861,4.5252,0,Normal
TRN000030,111.7466,3.0,26.4778,54.9518,409.9022,0.3345,0,Normal
TRN000031,142.0337,10.0,32.0767,21.3863,621.8762,4.5975,0,Normal
TRN000032,50.6462,2.0,20.6464,44.2821,631.6272,0.6405,0,Normal
TRN000033,44.9088,2.0,18.0528,10.9681,307.9511,1.3888,0,Normal
TRN000034,214.7329,2.0,21.63,29.9133,631.5314,1.4442,0,Normal
TRN000035,58.4078,2.0,12.2699,26.4584,339.8108,2.1697,0,Normal
TRN000036,56.6019,4.0,19.2534,68.0944,474.6807,0.1357,0,Normal
TRN000037,91.0088,1.0,20.8956,8.9552,321.7901,1.6572,0,Normal
TRN000038,85.4649,2.0,15.4506,55.7889,134.1717,0.3713,0,Normal
TRN000039,54.7075,4.0,22.1135,31.2642,846.7656,2.0657,0,Normal
TRN000040,82.258,5.0,16.9654,49.9649,464.7712,0.209,0,Normal
TRN000041,192.4457,5.0,30.1359,21.2371,486.4937,0.6928,0,Normal
TRN000042,62.0183,5.0,23.2353,36.6804,357.7068,0.023,0,Normal
TRN000043,42.0491,1.0,8.9612,24.2197,629.154,3.2703,0,Normal
TRN000044,159.2113,5.0,23.9523,35.3984,48.5101,0.3996,0,Normal
TRN000045,123.4595,2.0,23.9783,121.1951,304.1497,1.0089,0,Normal
TRN000046,67.3386,2.0,11.0617,82.5022,315.2234,1.2496,0,Normal
TRN000047,41.3493,4.0,14.0925,108.8208,176.8106,0.4465,0,Normal
TRN000048,62.9136,2.0,16.8545,21.7449,377.641,0.5496,0,Normal
TRN000049,94.5707,5.0,33.4766,34.1708,612.4219,0.0593,0,Normal
TRN000050,178.3059,4.0,20.8778,36.337,306.2116,1.2979,0,Normal
TRN000051,53.7876,5.0,23.8589,88.1767,162.9595,1.0005,0,Normal
TRN000052,92.7459,6.0,25.5468,113.8094,546.0478,0.7961,0,Normal
TRN000053,127.1619,4.0,19.5031,31.2006,428.2313,0.9728,0,Normal
TRN000054,24.8317,2.0,16.6748,17.7895,794.2657,1.0114,0,Normal
TRN000055,161.2587,2.0,18.4049,11.059,212.5607,0.3465,0,Normal
TRN000056,47.286,2.0,14.866,17.8823,465.6874,0.728,0,Normal
TRN000057,110.6825,3.0,12.0675,60.7601,158.842,2.9959,0,Normal
TRN000058,118.2703,8.0,28.0173,60.8683,326.6991,5.3583,0,Normal
TRN000059,162.9018,3.0,26.697,18.0418,360.9451,1.1359,0,Normal
TRN000060,134.5453,4.0,22.9962,34.6102,125.4715,0.588,0,Normal
TRN000061,23.5531,1.0,19.7769,52.4454,589.0101,2.076,0,Normal
TRN000062,59.7058,3.0,21.4913,12.8214,505.9473,0.5315,0,Normal
TRN000063,101.8798,5.0,22.7681,26.5347,428.2141,1.9888,0,Normal
TRN000064,87.0272,3.0,16.4063,16.0263,165.0216,3.4763,0,Normal
TRN000065,127.006,4.0,20.0139,18.6786,224.419,1.3723,0,Normal
TRN000066,151.5837,2.0,12.9529,32.0979,537.0298,0.6374,0,Normal
TRN000067,128.3828,1.0,16.658,39.3234,324.9499,2.901,0,Normal
TRN000068,81.2037,4.0,21.5721,14.3045,290.3674,1.5405,0,Normal
TRN000069,35.7249,5.0,29.3275,54.0795,621.5351,0.0959,0,Normal
