age,monthly_income,monthly_transactions,average_basket,engagement_score,channel,region,membership
42.487,29957.947,12,544.396,59.069,Store,Marmara,Standard
47.26,31821.75,12,361.042,68.543,Mobile,Marmara,Standard
33.359,21968.953,11,322.634,63.92,Mobile,Marmara,Silver
29.805,33444.162,17,381.024,60.899,Web,Ege,Standard
18.0,35564.445,12,386.403,69.618,Web,Marmara,Gold
50.488,30329.673,11,416.785,72.194,Web,Akdeniz,Standard
39.983,43987.794,8,612.851,67.064,Mobile,Ic_Anadolu,Standard
42.063,22306.87,7,357.457,52.652,Mobile,Ic_Anadolu,Standard
31.18,42213.805,10,552.85,59.311,Mobile,Ic_Anadolu,Standard
53.291,9428.116,12,438.729,78.061,Mobile,Akdeniz,Silver
50.175,80029.369,9,618.618,69.913,Web,Marmara,Standard
38.46,34427.555,14,384.327,75.165,Web,Ege,Standard
33.686,28297.397,11,565.668,54.477,Web,Marmara,Standard
35.876,43564.604,10,422.594,68.958,Web,Ic_Anadolu,Silver
31.015,32335.009,13,421.111,61.709,Mobile,Ic_Anadolu,Standard
40.092,31548.483,6,535.118,71.904,Mobile,Marmara,Standard
33.022,34122.524,5,545.181,63.907,Web,Ege,Silver
46.241,43268.21,10,436.581,60.406,Web,Marmara,Standard
35.846,22251.773,12,449.121,71.682,Web,Marmara,Standard
35.906,45406.381,12,446.188,64.87,Mobile,Marmara,Standard
56.71,28992.388,9,505.746,64.663,Mobile,Ege,Standard
31.817,43006.578,8,594.565,72.395,Mobile,Ege,Standard
22.553,24852.146,10,554.22,69.006,Web,Ege,Standard
43.828,22364.861,7,415.403,48.98,Mobile,Ic_Anadolu,Silver
18.0,32879.847,7,458.366,63.677,Mobile,Ege,Standard
42.708,22839.544,11,278.117,65.629,Web,Marmara,Standard
50.599,27236.148,9,573.847,54.113,Mobile,Ic_Anadolu,Standard
40.571,46314.585,11,510.589,65.961,Mobile,Ic_Anadolu,Standard
39.902,45130.854,7,495.848,50.747,Mobile,Ege,Silver
