age,monthly_income,monthly_transactions,average_basket,engagement_score,channel,region,membership
41.352,38567.652,6,452.997,60.256,Mobile,Ic_Anadolu,Standard
26.56,34357.897,9,478.487,57.66,Mobile,Akdeniz,Standard
46.255,45857.497,3,568.639,79.403,Mobile,Marmara,Silver
48.346,37574.928,13,512.566,56.596,Web,Marmara,Silver
18.0,49649.101,4,472.887,74.902,Web,Marmara,Gold
23.676,44328.407,9,602.043,62.59,Mobile,Marmara,Standard
39.406,55728.456,9,593.533,72.271,Store,Ic_Anadolu,Gold
34.521,35822.896,4,492.451,75.569,Mobile,Marmara,Standard
37.815,44090.454,5,497.831,70.263,Web,Ic_Anadolu,Silver
28.617,27813.915,4,471.981,61.847,Mobile,Ege,Standard
47.673,24870.68,13,250.805,85.061,Web,Ic_Anadolu,Gold
46.556,59788.685,5,571.674,68.391,Mobile,Ege,Gold
38.726,33933.492,4,598.13,100.0,Store,Ic_Anadolu,Silver
50.4,42440.34,8,503.031,50.548,Web,Ege,Silver
43.143,32761.889,4,453.52,47.601,Web,Marmara,Standard
28.548,25012.327,6,362.572,76.143,Web,Ege,Standard
42.056,31387.767,2,485.068,63.082,Mobile,Ege,Standard
27.452,53942.704,9,509.915,76.226,Mobile,Marmara,Silver
47.663,38599.37,6,586.296,55.216,Store,Akdeniz,Standard
37.451,16311.737,8,305.012,68.141,Web,Ic_Anadolu,Standard
35.967,28802.202,11,390.07,74.273,Mobile,Marmara,Standard
30.51,61529.477,12,502.573,64.963,Mobile,Ic_Anadolu,Silver
51.448,28818.05,10,595.951,71.318,Mobile,Marmara,Standard
36.3,15769.265,9,363.572,54.685,Web,Ege,Standard
33.288,64174.331,8,517.497,71.548,Web,Marmara,Standard
34.127,40510.203,6,287.655,80.654,Web,Marmara,Standard
43.855,30436.417,7,355.04,54.524,Mobile,Marmara,Standard
42.02,27142.642,6,471.904,53.22,Store,Ege,Standard
42.54,47159.641,5,548.532,77.399,Mobile,Marmara,Silver
42.739,25439.193,9,359.235,55.144,Mobile,Marmara,Standard
61.558,48355.606,9,452.374,76.706,Store,Marmara,Gold
33.529,38408.505,9,635.113,68.853,Web,Marmara,Standard
32.365,34302.693,10,694.608,64.822,Web,Ege,Standard
29.048,33034.1,10,550.534,83.665,Store,Marmara,Gold
44.776,29246.411,11,572.821,78.981,Mobile,Ege,Gold
50.419,46506.308,7,658.299,69.697,Mobile,Ege,Standard
36.747,22497.731,9,605.841,46.773,Mobile,Marmara,Standard
28.758,16876.349,8,357.736,74.723,Mobile,Ic_Anadolu,Standard
28.931,39477.543,8,392.793,56.891,Web,Ic_Anadolu,Silver
45.157,39730.346,5,637.823,63.286,Web,Ic_Anadolu,Standard
46.176,37514.831,9,377.501,68.373,Mobile,Ege,Standard
43.975,36495.228,8,367.793,86.573,Web,Marmara,Standard
30.679,27672.507,10,335.926,66.468,Mobile,Ege,Standard
40.554,42160.685,4,470.331,50.572,Mobile,Akdeniz,Gold
39.284,30720.575,8,259.562,82.296,Mobile,Ege,Standard
40.406,25975.183,5,290.925,72.757,Web,Ic_Anadolu,Gold
47.586,27763.606,7,370.773,74.53,Mobile,Ege,Standard
40.46,67362.454,9,471.453,83.184,Store,Akdeniz,Gold
45.468,16166.704,1,477.797,79.932,Store,Marmara,Silver
38.743,37794.523,10,465.962,60.083,Web,Ege,Standard
