feature,coefficient
worst texture,1.3975062222837615
radius error,1.3543416581673804
worst symmetry,1.0550046761305736
compactness error,-0.98456243102564
mean concave points,0.980225866310105
area error,0.9067751074621735
worst area,0.8938529799421998
worst concavity,0.8906381861496385
worst radius,0.8896182459747385
mean concavity,0.8743936402126486
perimeter error,0.8702233425878152
worst concave points,0.75323988269516
worst perimeter,0.7281443312267003
fractal dimension error,-0.6021128996970077
mean compactness,-0.569159434428016
mean texture,0.5112195069369394
concave points error,0.4958472451623832
mean smoothness,0.39970900782822294
texture error,-0.39587227008658615
mean area,0.3831382858434779
worst smoothness,0.3681299179885821
symmetry error,-0.3227454278127929
mean symmetry,-0.2836933516367886
mean perimeter,0.26688541096936835
mean radius,0.26244228213167387
smoothness error,0.24000347433694347
worst compactness,-0.2229570699639509
concavity error,-0.11287479491354979
mean fractal dimension,-0.052489610049051776
worst fractal dimension,0.008417085956818423
