temperature,vibration,pressure,rpm,oil_quality,load,age_months,error_count,sensor_9,sensor_10,sensor_11,sensor_12,failure
87.668,1.711,115.451,1628.949,46.655,56.163,53.054,3.0,3.519,-2.529,-0.11,0.339,0
57.982,3.154,121.047,2283.966,44.337,85.096,54.907,3.0,0.472,4.067,0.363,0.091,0
123.886,4.794,85.689,1086.328,91.407,26.791,10.278,4.0,0.829,-5.645,4.951,0.114,0
96.155,1.829,98.27,1582.656,86.835,12.053,35.17,3.0,1.396,-1.928,5.454,-0.729,0
113.62,5.829,91.158,1366.028,96.389,28.668,9.816,3.0,2.479,-4.745,4.361,-1.781,0
93.692,3.077,110.696,1561.689,58.068,51.989,94.031,3.0,-0.02,-1.539,1.784,0.714,0
88.608,2.715,113.191,1538.664,57.889,65.026,46.482,1.0,2.586,-1.945,-0.584,0.606,0
84.189,7.361,121.402,1576.565,55.185,30.008,71.994,1.0,2.32,-0.965,1.465,0.078,0
56.208,3.219,140.16,1896.149,59.249,87.415,66.352,4.0,0.679,0.805,0.494,2.117,1
120.109,4.951,98.17,1164.711,78.761,42.616,70.325,1.0,2.924,-6.453,0.93,0.545,0
117.252,3.782,139.295,1333.331,76.026,25.236,31.484,0.0,0.286,-1.134,5.151,-0.155,0
85.509,3.524,113.825,1703.954,29.508,46.38,137.21,8.0,1.561,-3.193,1.114,-0.016,0
81.621,3.017,134.291,2333.742,39.562,59.321,60.537,3.0,-0.813,3.711,5.049,-0.003,0
71.817,2.983,84.72,1319.002,73.062,46.041,49.713,9.0,-0.386,-2.841,2.35,-2.183,0
98.923,3.727,103.954,1280.371,73.907,62.578,5.061,-0.0,4.088,-3.812,-1.285,-1.925,0
103.52,3.553,117.583,1551.301,54.074,62.484,57.826,2.0,-0.555,-1.166,2.636,0.445,1
58.555,6.127,87.704,992.569,88.882,100.0,78.835,7.0,2.155,-6.525,-5.817,-0.147,1
54.133,2.954,97.17,1169.036,62.831,71.63,38.374,6.0,-0.752,-0.504,-1.602,0.232,0
90.984,3.286,67.184,1357.904,89.282,36.909,110.907,1.0,2.576,-3.844,-1.624,-0.351,1
73.931,2.382,104.633,2041.422,41.596,63.937,51.798,5.0,1.005,1.51,1.259,-1.604,0
58.055,2.986,66.727,1521.778,64.247,66.434,55.145,0.0,1.162,4.412,-6.743,0.918,1
60.783,4.604,99.558,955.699,52.957,94.95,60.057,5.0,-0.877,-1.993,-4.259,-0.329,0
99.041,0.965,87.585,852.594,100.0,48.166,1.0,5.0,4.584,-8.896,1.282,1.155,0
95.597,3.84,126.087,1434.833,61.759,62.702,58.287,3.0,2.707,-3.909,0.611,0.912,0
82.416,2.753,118.541,1325.924,61.514,70.893,50.928,1.0,3.061,-3.028,-2.137,-1.117,0
90.236,4.801,126.957,1634.018,59.136,40.616,66.026,-0.0,-0.072,0.734,2.957,-1.301,0
57.15,4.399,78.61,1037.921,77.904,59.221,98.352,-0.0,0.801,-1.055,-5.37,2.033,1
8.143,2.148,117.997,922.588,47.397,100.0,38.437,5.0,0.082,1.057,-8.263,1.062,1
93.585,5.273,109.01,1200.864,76.353,52.225,34.752,0.0,2.985,-3.16,-0.985,0.157,0
79.158,5.573,111.403,2051.932,93.745,23.661,45.718,5.0,-1.428,1.539,8.544,0.113,1
84.745,2.89,95.882,1487.89,73.242,12.523,66.032,1.0,0.386,-0.0,3.031,-2.458,1
102.103,2.811,126.835,1410.532,70.314,47.417,76.424,1.0,2.074,-3.733,1.869,-0.843,0
80.272,6.065,89.191,1138.823,100.0,43.678,1.0,8.0,2.562,-6.127,3.352,0.283,0
83.6,2.659,99.13,1698.545,63.488,64.232,55.028,1.0,0.581,0.203,0.375,0.231,0
103.187,3.711,82.208,1457.696,99.441,13.966,12.141,7.0,0.853,-3.894,6.905,-1.114,1
80.6,0.497,80.024,1245.152,73.651,26.049,86.303,4.0,-0.407,-1.557,1.107,1.751,1
78.11,3.184,106.519,1374.626,69.847,91.474,90.316,4.0,1.564,-3.748,-2.742,-0.304,0
46.084,0.937,106.193,1378.503,85.537,50.609,65.061,0.0,-0.03,3.267,-2.596,-1.685,1
109.652,5.54,119.02,874.164,85.323,71.497,69.198,1.0,2.379,-7.465,-1.019,1.059,0
90.118,2.088,89.447,1191.472,76.673,41.373,38.053,5.0,-0.16,-3.052,2.454,0.347,0
48.163,4.986,93.583,1250.463,53.157,62.185,41.128,7.0,-0.125,-0.182,-1.674,-0.328,0
66.873,4.716,88.371,711.169,58.806,74.798,3.479,5.0,0.113,-2.852,-3.451,-0.985,0
96.555,2.482,98.512,1772.568,76.985,43.591,68.267,-0.0,0.671,-0.052,2.463,0.095,0
126.635,3.793,78.742,763.301,100.0,50.974,1.0,3.0,6.493,-12.353,0.4,1.485,0
52.478,2.293,38.091,583.417,90.942,8.006,97.414,0.0,-0.237,3.36,-8.508,-1.138,1
102.247,3.699,111.545,1886.044,69.061,35.557,66.292,2.0,0.437,-0.596,5.185,-0.532,1
102.5,3.314,80.586,1051.471,64.935,67.256,54.356,0.0,1.298,-3.304,-3.057,-0.018,0
93.659,2.894,75.014,1777.467,100.0,20.419,13.971,7.0,0.647,-1.994,6.965,0.789,0
66.191,5.746,67.771,1424.453,70.408,52.609,19.571,9.0,-2.075,0.196,2.21,0.761,0
59.467,3.286,83.83,1863.294,100.0,82.443,32.27,0.0,-1.922,3.962,0.33,-1.346,1
82.642,1.922,108.194,1846.874,53.22,7.875,72.596,0.0,0.804,3.136,2.939,-0.755,0
69.36,3.781,88.511,956.479,60.762,71.917,20.805,5.0,0.728,-2.654,-2.855,-0.575,0
118.673,2.692,74.627,1090.875,100.0,40.69,7.157,5.0,2.512,-7.609,3.316,-0.77,0
103.831,7.505,121.85,1884.026,64.975,43.489,31.186,0.0,0.159,1.391,4.729,-0.394,0
71.641,3.527,134.757,2083.743,26.106,35.37,87.532,4.0,1.104,2.336,2.995,-0.291,0
