invoice_no,customer_id,invoice_date,product_code,quantity,unit_price,is_cancelled,known_profile
INV001076,CU0149,2025-01-02,P118,1,314.21,False,Sampiyon
INV000091,CU0009,2025-01-02,P037,2,42.84,False,Sampiyon
INV003061,CU0404,2025-01-02,P105,4,48.38,False,Sadik
INV002067,CU0273,2025-01-02,P047,2,69.03,False,Riskli
INV004195,CU0553,2025-01-02,P104,5,38.2,False,Potansiyel
INV001076,CU0149,2025-01-02,P132,5,101.66,False,Sampiyon
INV001004,CU0141,2025-01-02,P145,3,151.64,False,Sampiyon
INV000619,CU0086,2025-01-02,P089,1,109.49,False,Sadik
INV000619,CU0086,2025-01-02,P154,2,10.05,False,Sadik
INV000619,CU0086,2025-01-02,P138,1,42.1,False,Sadik
INV000619,CU0086,2025-01-02,P004,3,115.77,False,Sadik
INV001004,CU0141,2025-01-02,P040,2,105.01,False,Sampiyon
INV001669,CU0225,2025-01-02,P158,5,60.03,False,Sadik
INV004509,CU0598,2025-01-02,P146,2,13.34,False,Sadik
INV004509,CU0598,2025-01-02,P057,5,14.39,False,Sadik
INV004509,CU0598,2025-01-02,P144,5,6.11,False,Sadik
INV004509,CU0598,2025-01-02,P161,1,210.88,False,Sadik
INV003447,CU0456,2025-01-02,P140,5,55.1,False,Sadik
INV000792,CU0108,2025-01-02,P130,2,5.0,False,Uykuda
INV000792,CU0108,2025-01-02,P016,5,5.48,False,Uykuda
INV000792,CU0108,2025-01-02,P179,2,42.03,False,Uykuda
INV002591,CU0330,2025-01-02,P098,2,43.88,False,Riskli
INV002591,CU0330,2025-01-02,P062,3,52.87,False,Riskli
INV001854,CU0252,2025-01-02,P107,2,151.99,False,Sadik
INV003061,CU0404,2025-01-02,P037,4,6.62,False,Sadik
INV003061,CU0404,2025-01-02,P011,4,21.28,False,Sadik
INV000091,CU0009,2025-01-02,P013,1,94.57,False,Sampiyon
INV000091,CU0009,2025-01-02,P066,1,59.68,False,Sampiyon
INV002067,CU0273,2025-01-02,P091,3,6.44,False,Riskli
INV003640,CU0481,2025-01-02,P108,2,90.4,False,Riskli
INV002225,CU0291,2025-01-02,P028,1,5.75,False,Uykuda
INV003447,CU0456,2025-01-02,P103,3,57.94,False,Sadik
INV002342,CU0304,2025-01-02,P122,2,107.27,False,Riskli
INV002225,CU0291,2025-01-02,P137,3,39.38,False,Uykuda
INV003640,CU0481,2025-01-02,P093,3,65.61,False,Riskli
INV003640,CU0481,2025-01-02,P141,1,95.96,False,Riskli
INV002342,CU0304,2025-01-02,P112,4,33.44,False,Riskli
INV003893,CU0515,2025-01-02,P038,1,162.14,False,Uykuda
INV002225,CU0291,2025-01-02,P086,1,33.86,False,Uykuda
INV003447,CU0456,2025-01-02,P075,2,18.94,False,Sadik
INV002225,CU0291,2025-01-02,P137,1,11.53,False,Uykuda
INV002255,CU0296,2025-01-02,P038,3,55.5,False,Sampiyon
INV003893,CU0515,2025-01-02,P132,2,7.69,False,Uykuda
INV003893,CU0515,2025-01-02,P066,5,5.0,False,Uykuda
INV001076,CU0149,2025-01-02,P016,4,5.0,False,Sampiyon
INV002067,CU0273,2025-01-02,P007,5,19.37,False,Riskli
INV000091,CU0009,2025-01-02,P025,2,245.2,False,Sampiyon
INV002255,CU0296,2025-01-02,P129,1,548.96,False,Sampiyon
INV003447,CU0456,2025-01-02,P134,3,6.64,False,Sadik
INV000860,CU0122,2025-01-03,P094,5,43.69,False,Riskli
INV001658,CU0224,2025-01-03,P040,3,88.38,False,Riskli
INV001471,CU0202,2025-01-03,P150,1,411.82,False,Riskli
INV002726,CU0355,2025-01-03,P026,4,40.37,False,Uykuda
INV000845,CU0120,2025-01-03,P151,1,27.1,False,Sadik
INV000860,CU0122,2025-01-03,P029,4,8.71,False,Riskli
INV004072,CU0539,2025-01-03,P152,4,132.35,False,Sampiyon
INV000860,CU0122,2025-01-03,P130,2,19.61,False,Riskli
INV004072,CU0539,2025-01-03,P166,2,16.49,False,Sampiyon
INV001658,CU0224,2025-01-03,P012,4,15.8,False,Riskli
INV004072,CU0539,2025-01-03,P114,1,12.44,False,Sampiyon
INV003368,CU0446,2025-01-03,P010,2,376.76,False,Sampiyon
INV004072,CU0539,2025-01-03,P018,4,9.42,False,Sampiyon
INV003994,CU0530,2025-01-03,P102,5,9.96,False,Riskli
INV003994,CU0530,2025-01-03,P115,2,11.96,False,Riskli
INV003994,CU0530,2025-01-03,P039,2,164.01,False,Riskli
INV003994,CU0530,2025-01-03,P118,2,24.45,False,Riskli
INV001658,CU0224,2025-01-03,P003,3,26.4,False,Riskli
INV001472,CU0202,2025-01-03,P094,5,92.76,False,Riskli
INV001845,CU0250,2025-01-03,P171,2,146.47,False,Riskli
INV001877,CU0255,2025-01-03,P118,4,8.23,False,Sampiyon
INV003160,CU0419,2025-01-03,P090,5,14.81,False,Sadik
INV003285,CU0435,2025-01-03,P043,1,111.99,False,Sadik
INV003285,CU0435,2025-01-03,P138,2,32.39,False,Sadik
INV003285,CU0435,2025-01-03,P024,5,5.0,False,Sadik
INV000568,CU0078,2025-01-03,P090,4,6.2,False,Uykuda
INV000568,CU0078,2025-01-03,P138,5,5.0,False,Uykuda
INV000568,CU0078,2025-01-03,P149,4,37.91,False,Uykuda
INV003285,CU0435,2025-01-03,P062,3,32.23,False,Sadik
INV003665,CU0484,2025-01-03,P036,2,26.09,False,Sampiyon
INV003665,CU0484,2025-01-03,P080,4,133.05,False,Sampiyon
INV003665,CU0484,2025-01-03,P171,4,24.02,False,Sampiyon
INV003223,CU0427,2025-01-03,P012,2,61.72,False,Sadik
INV003223,CU0427,2025-01-03,P020,1,43.87,False,Sadik
INV003223,CU0427,2025-01-03,P154,5,26.49,False,Sadik
INV003223,CU0427,2025-01-03,P152,3,26.9,False,Sadik
INV003665,CU0484,2025-01-03,P028,1,105.37,False,Sampiyon
INV003160,CU0419,2025-01-03,P073,5,56.1,False,Sadik
INV002726,CU0355,2025-01-03,P113,5,5.0,False,Uykuda
INV001877,CU0255,2025-01-03,P074,2,5.0,False,Sampiyon
INV001877,CU0255,2025-01-03,P002,1,468.69,False,Sampiyon
INV000845,CU0120,2025-01-03,P110,4,17.47,False,Sadik
INV000845,CU0120,2025-01-03,P112,4,53.65,False,Sadik
INV004143,CU0545,2025-01-03,P039,1,201.96,False,Riskli
INV001877,CU0255,2025-01-03,P042,5,13.64,False,Sampiyon
INV004143,CU0545,2025-01-03,P005,4,36.08,False,Riskli
INV002712,CU0353,2025-01-04,P006,1,160.83,False,Riskli
INV002712,CU0353,2025-01-04,P156,4,41.15,False,Riskli
INV001945,CU0261,2025-01-04,P081,1,520.32,False,Sampiyon
INV004436,CU0587,2025-01-04,P107,3,94.63,False,Sadik
INV002592,CU0330,2025-01-04,P051,1,58.34,False,Riskli
INV001846,CU0250,2025-01-04,P093,2,56.07,False,Riskli
INV002304,CU0300,2025-01-04,P075,2,90.07,False,Sampiyon
INV002304,CU0300,2025-01-04,P130,2,156.79,False,Sampiyon
INV002712,CU0353,2025-01-04,P125,4,5.0,False,Riskli
INV002712,CU0353,2025-01-04,P032,1,27.37,False,Riskli
INV002592,CU0330,2025-01-04,P103,5,22.73,False,Riskli
INV001917,CU0257,2025-01-04,P050,2,21.11,False,Uykuda
INV001803,CU0245,2025-01-04,P168,2,5.0,False,Sampiyon
INV001803,CU0245,2025-01-04,P001,3,166.96,False,Sampiyon
INV001803,CU0245,2025-01-04,P090,5,7.74,False,Sampiyon
INV001792,CU0244,2025-01-04,P024,3,160.33,False,Sadik
INV001846,CU0250,2025-01-04,P118,5,14.55,False,Riskli
INV001917,CU0257,2025-01-04,P031,5,15.29,False,Uykuda
INV002472,CU0320,2025-01-04,P178,2,5.0,False,Riskli
INV002472,CU0320,2025-01-04,P090,4,103.94,False,Riskli
INV001945,CU0261,2025-01-04,P012,2,27.68,False,Sampiyon
INV002592,CU0330,2025-01-04,P059,2,82.24,False,Riskli
INV001846,CU0250,2025-01-04,P141,2,100.66,False,Riskli
INV000215,CU0031,2025-01-04,P179,4,51.72,False,Uykuda
INV004436,CU0587,2025-01-04,P001,1,162.77,False,Sadik
INV003056,CU0402,2025-01-04,P073,4,6.38,False,Uykuda
INV003056,CU0402,2025-01-04,P029,2,42.11,False,Uykuda
INV003056,CU0402,2025-01-04,P127,5,13.86,False,Uykuda
INV003062,CU0404,2025-01-04,P138,4,114.97,False,Sadik
INV004124,CU0543,2025-01-04,P154,4,32.8,False,Sadik
INV004124,CU0543,2025-01-04,P024,4,52.91,False,Sadik
INV004124,CU0543,2025-01-04,P111,3,9.93,False,Sadik
INV003104,CU0413,2025-01-04,P075,4,33.51,False,Riskli
INV004436,CU0587,2025-01-04,P060,1,60.77,False,Sadik
INV003104,CU0413,2025-01-04,P020,5,5.0,False,Riskli
INV003104,CU0413,2025-01-04,P149,4,9.72,False,Riskli
INV003056,CU0402,2025-01-04,P051,1,30.12,False,Uykuda
INV000575,CU0080,2025-01-04,P122,4,12.54,False,Riskli
INV000575,CU0080,2025-01-04,P100,4,26.69,False,Riskli
INV000575,CU0080,2025-01-04,P062,5,12.97,False,Riskli
INV000009,CU0002,2025-01-04,P073,3,37.61,False,Sadik
INV000009,CU0002,2025-01-04,P119,5,63.86,False,Sadik
INV003211,CU0425,2025-01-04,P005,5,5.0,False,Riskli
INV003211,CU0425,2025-01-04,P090,1,230.06,False,Riskli
INV003211,CU0425,2025-01-04,P072,4,52.03,False,Riskli
INV000225,CU0034,2025-01-04,P144,3,12.16,False,Potansiyel
INV000225,CU0034,2025-01-04,P163,2,13.17,False,Potansiyel
INV000225,CU0034,2025-01-04,P143,1,21.39,False,Potansiyel
INV000225,CU0034,2025-01-04,P052,2,48.66,False,Potansiyel
INV000575,CU0080,2025-01-04,P168,5,23.54,False,Riskli
INV003055,CU0402,2025-01-04,P017,5,32.6,False,Uykuda
INV003104,CU0413,2025-01-04,P069,2,91.67,False,Riskli
INV003404,CU0449,2025-01-04,P116,3,114.89,False,Riskli
INV003330,CU0441,2025-01-04,P073,1,145.24,False,Riskli
INV002788,CU0363,2025-01-04,P142,4,27.44,False,Sampiyon
INV004014,CU0532,2025-01-04,P036,1,712.99,False,Sampiyon
INV003404,CU0449,2025-01-04,P159,3,17.29,False,Riskli
INV002860,CU0373,2025-01-04,P074,5,83.43,False,Riskli
INV004044,CU0535,2025-01-04,P040,1,346.35,False,Potansiyel
INV002788,CU0363,2025-01-04,P067,1,499.5,False,Sampiyon
INV002788,CU0363,2025-01-04,P159,2,13.27,False,Sampiyon
INV003330,CU0441,2025-01-04,P062,4,69.21,False,Riskli
INV004106,CU0541,2025-01-04,P094,5,18.17,False,Sadik
INV004106,CU0541,2025-01-04,P171,1,254.92,False,Sadik
INV004106,CU0541,2025-01-04,P032,1,5.0,False,Sadik
INV000219,CU0033,2025-01-05,P001,2,37.51,False,Riskli
INV004218,CU0559,2025-01-05,P109,1,161.15,False,Sadik
INV004218,CU0559,2025-01-05,P052,2,74.45,False,Sadik
INV000436,CU0060,2025-01-05,P088,5,37.66,False,Riskli
INV001287,CU0177,2025-01-05,P045,3,5.0,False,Riskli
INV001426,CU0197,2025-01-05,P098,5,13.16,False,Uykuda
INV001426,CU0197,2025-01-05,P007,4,18.79,False,Uykuda
INV000325,CU0045,2025-01-05,P137,4,68.91,False,Sadik
INV000219,CU0033,2025-01-05,P177,3,12.4,False,Riskli
INV000325,CU0045,2025-01-05,P165,4,5.69,False,Sadik
INV000325,CU0045,2025-01-05,P021,5,5.0,False,Sadik
INV002237,CU0293,2025-01-05,P145,3,120.03,False,Sampiyon
INV000219,CU0033,2025-01-05,P101,5,20.69,False,Riskli
INV001477,CU0203,2025-01-05,P057,1,11.33,False,Sadik
INV000436,CU0060,2025-01-05,P047,4,8.2,False,Riskli
INV001477,CU0203,2025-01-05,P123,1,395.92,False,Sadik
INV003763,CU0499,2025-01-05,P040,1,228.83,False,Riskli
INV001287,CU0177,2025-01-05,P044,4,65.13,False,Riskli
INV000908,CU0129,2025-01-05,P166,3,169.23,False,Sampiyon
INV000908,CU0129,2025-01-05,P059,4,39.15,False,Sampiyon
INV000908,CU0129,2025-01-05,P010,4,34.52,False,Sampiyon
INV000771,CU0105,2025-01-05,P115,3,111.72,False,Riskli
